id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,issue_date_y,issue_date_m,issue_date_diff,isDefault
0,2890.909091,3,10.791,88.01,1,2,3,5,0,1,0,314,0,23.04,0,745.0,869.1666667,0.0,8647.692308,31.84615385,1,0,1,2.0,0.0,15.0,5.0,4.0,3,773,89.19230769,2017,12,3836,0.20753193
1,7272.727273,3,9.99,258.1,1,0,12,10,1,1,5,29,19,27.75454545,0,681.8181818,738.6363636,0.0,9406.153846,18.27692308,0,6,1,8.0,0.0,8.0,29.0,14.0,1,1894,218.5384615,2015,7,2952,0.19497885
2,26295.45455,3,15.763,764.03,2,0,3,10,0,2,0,488,24,25.49454545,1,758.1818182,947.7272727,0.0,26414.76923,62.3,1,268,1,6.0,0.0,4.0,10.0,6.0,1,5670,1221.230769,2013,4,2131,0.19106543
3,22690.90909,5,19.305,524.3,3,0,10,10,0,2,0,489,30,10.62,0,572.7272727,620.4545455,0.0,1198.0,7.7,0,0,1,4.0,0.0,12.0,10.0,8.0,2,4800,443.0769231,2017,12,3836,0.19797428
4,14545.45455,3,7.139,490.32,0,4,0,1,0,0,2,418,45,6.610909091,0,638.1818182,691.3636364,0.0,3920.0,8.830769231,1,5,1,4.0,0.0,7.0,14.0,9.0,0,3516,649.1076923,2016,6,3288,0.20759472
5,10000.0,3,12.837,330.57,1,4,5,4,1,0,0,27,12,5.869090909,0,560.4545455,653.8636364,0.0,9022.0,48.46153846,0,0,1,8.0,,0.0,8.0,6.0,0,0,0.0,2014,9,2649,0.25157067
6,12727.27273,5,11.997,320.92,2,0,0,10,0,2,0,371,7,28.87,0,680.0,736.6666667,0.0,33388.92308,70.86153846,1,0,1,11.0,0.0,8.0,25.0,9.0,0,5267,0.0,2015,5,2891,0.269804
7,14727.27273,5,16.02,437.92,2,2,10,4,0,1,0,0,0,13.71272727,0,665.0,775.8333333,0.0,4787.307692,55.89230769,0,0,1,3.0,0.0,12.0,6.0,5.0,1,6640,1225.846154,2017,5,3622,0.20563464
8,6545.454545,3,13.779,208.91,2,0,4,5,1,0,0,166,8,19.22,0,670.0,837.5,0.0,13235.76923,83.7,1,38,1,,,,,,3,1177,253.5076923,2012,8,1888,0.19419223
9,31818.18182,3,14.049,1223.77,3,0,0,5,1,2,4,646,8,8.327272727,3,736.3636364,797.7272727,0.0,23373.0,84.80769231,1,4,1,8.0,0.0,8.0,17.0,6.0,3,7911,0.0,2015,6,2922,0.21195559
10,20000.0,3,8.129,621.12,0,3,0,4,1,1,0,32,21,31.96363636,0,556.3636364,649.0909091,0.0,42308.07692,54.55384615,0,0,1,8.0,0.0,10.0,12.0,7.0,2,0,0.0,2016,3,3196,0.24028361
11,9818.181818,3,12.089,392.81,1,2,5,2,1,1,4,497,8,6.39,0,572.7272727,668.1818182,0.0,4046.0,31.93846154,1,4,1,4.0,0.0,4.0,6.0,4.0,3,4587,529.2692308,2014,7,2587,0.21233812
12,1963.636364,3,13.519,80.05,2,0,3,3,1,0,4,31,2,9.572727273,0,556.3636364,602.7272727,0.0,14100.0,77.3,0,4,1,2.0,0.0,11.0,9.0,5.0,3,360,0.0,2015,8,2983,0.21051416
13,17363.63636,3,17.991,709.73,4,5,4,9,0,2,0,203,30,30.39,2,680.0,736.6666667,0.0,24563.07692,59.07692308,1,0,1,15.0,,7.0,32.0,13.0,3,5612,604.3692308,2015,8,2983,0.20201111
14,9090.909091,3,5.32,301.15,0,3,4,0,2,1,2,32,21,5.847272727,0,642.2727273,802.8409091,0.0,1108.153846,3.692307692,0,5,1,2.0,0.0,16.0,16.0,7.0,0,2719,585.6307692,2016,7,3318,0.21099539
15,7272.727273,3,16.191,289.18,3,3,0,4,1,2,3,277,8,34.56,0,741.8181818,927.2727273,0.0,20518.84615,56.0,1,3,1,10.0,0.0,5.0,17.0,7.0,3,1840,424.6153846,2016,12,3471,0.19243196
16,2181.818182,3,18.458,71.09,2,0,5,4,1,2,0,309,30,29.29,0,560.4545455,653.8636364,0.0,6466.923077,67.41538462,1,37604,1,5.0,0.0,0.0,6.0,3.0,2,126,37.8,2013,7,2222,0.1966195
17,21818.18182,3,10.78,652.7,1,1,8,10,1,2,4,515,47,30.66545455,0,780.0,975.0,0.0,20664.0,63.53846154,1,4,1,12.0,,4.0,12.0,5.0,2,0,0.0,2016,1,3136,0.24497704
18,5727.272727,3,8.541,224.2,1,0,8,8,0,0,0,2,2,17.65454545,0,700.0,816.6666667,1.0,9072.0,58.15384615,0,0,1,8.0,0.0,3.0,10.0,5.0,3,0,0.0,2016,7,3318,0.25572476
19,6545.454545,3,20.205,230.55,5,0,1,10,1,2,0,56,8,37.61818182,0,560.4545455,607.1590909,0.0,7452.307692,52.33846154,0,2,1,5.0,0.0,19.0,14.0,7.0,3,0,0.0,2016,1,3136,0.3770167
20,5727.272727,3,11.565,235.36,1,3,1,7,0,0,4,377,11,19.52727273,5,660.0,715.0,0.0,9654.230769,72.04615385,1,4,1,6.0,0.0,6.0,19.0,14.0,3,3386,625.1076923,2013,12,2375,0.21070893
21,11781.81818,5,11.997,247.57,2,1,10,10,0,0,4,391,0,20.62,4,736.3636364,859.0909091,0.0,8616.923077,30.9,0,4,1,4.0,0.0,8.0,17.0,10.0,3,2008,0.0,2015,3,2830,0.2050473
22,19636.36364,5,13.49,552.12,2,4,3,5,0,0,0,324,10,19.91454545,0,631.8181818,684.469697,0.0,30447.0,56.67692308,0,0,1,5.0,0.0,8.0,18.0,9.0,0,0,0.0,2016,8,3349,0.31485504
23,15000.0,3,7.282,460.56,0,1,10,0,0,2,0,401,24,26.28,0,659.0909091,768.9393939,0.0,74363.0,46.4,1,0,1,7.0,0.0,9.0,12.0,9.0,3,242,72.6,2013,8,2253,0.19126007
24,12000.0,3,12.089,392.81,1,0,1,10,0,0,2,677,13,27.48181818,0,580.9090909,677.7272727,1.0,11092.30769,63.2,1,5,1,3.0,0.0,9.0,12.0,5.0,2,5903,1634.676923,2015,6,2922,0.19436666
25,23636.36364,5,15.389,465.27,2,3,8,2,1,0,0,335,8,14.59636364,0,640.9090909,747.7272727,1.0,10390.0,71.76923077,0,0,1,3.0,0.0,6.0,6.0,4.0,0,0,0.0,2016,10,3410,0.38420433
26,10975.0,5,20.2,292.0,4,3,0,4,0,2,0,174,7,6.96,2,700.0,875.0,1.0,12239.07692,85.96153846,0,0,1,2.0,0.0,5.0,7.0,4.0,2,5419,625.2692308,2014,7,2587,0.19678707
27,18000.0,3,5.616,503.76,0,2,2,0,1,0,5,152,14,9.147272727,0,774.5454545,903.6363636,0.0,29994.23077,25.2,0,6,1,6.0,0.0,22.0,14.0,13.0,0,4856,1680.923077,2015,11,3075,0.20674372
28,9000.0,3,12.683,362.9,1,0,10,3,0,0,4,488,24,29.6,0,710.0,828.3333333,0.0,19064.30769,62.0,0,4,1,6.0,0.0,5.0,11.0,6.0,3,1875,0.0,2015,10,3044,0.20861597
29,10909.09091,3,7.641,315.63,1,1,4,2,0,1,4,160,4,13.02545455,1,675.0,731.25,1.0,12238.15385,49.21538462,0,4,1,8.0,0.0,4.0,16.0,8.0,2,1605,518.5384615,2016,1,3136,0.19016692
30,7636.363636,3,13.99,239.21,2,2,2,3,0,2,0,349,44,22.87636364,4,613.6363636,715.9090909,0.0,6180.923077,50.83076923,1,0,1,4.0,0.0,14.0,9.0,5.0,3,3359,930.1846154,2016,8,3349,0.20943789
31,11818.18182,3,8.253,318.79,1,2,7,6,2,1,5,310,24,4.655454545,0,677.2727273,790.1515152,0.0,2515.384615,4.0,0,6,1,4.0,0.0,1.0,18.0,9.0,3,841,168.2,2014,6,2557,0.20568046
32,6350.0,3,4.788,191.23,0,1,6,3,0,1,0,48,10,9.89,0,735.0,857.5,0.0,5871.692308,21.0,0,0,1,1.0,0.0,6.0,9.0,5.0,0,0,0.0,2017,1,3502,0.2087884
33,6818.181818,3,20.889,274.89,3,0,3,10,0,0,2,104,23,27.08181818,0,544.0909091,680.1136364,0.0,14299.0,95.09230769,0,5,1,4.0,0.0,35.0,8.0,3.0,2,2381,0.0,2016,8,3349,0.22328827
34,7090.909091,3,13.189,215.87,1,0,10,8,1,1,0,92,18,29.29,0,769.0909091,961.3636364,1.0,2805.230769,41.90769231,1,0,1,2.0,0.0,6.0,5.0,4.0,3,2216,0.0,2014,11,2710,0.21148333
35,14181.81818,3,10.087,382.55,1,3,12,1,0,0,0,38,21,24.72,0,593.1818182,642.6136364,0.0,14791.0,39.23076923,0,0,1,10.0,0.0,2.0,19.0,12.0,3,2102,630.6,2015,10,3044,0.20712695
36,3772.727273,3,15.389,141.82,2,0,0,4,1,0,8,111,8,15.99,0,736.3636364,797.7272727,0.0,32336.76923,77.96923077,1,1850,1,,,,,,3,1091,0.0,2012,3,1735,0.2059072
37,2727.272727,3,9.99,96.79,1,0,6,10,0,0,0,81,15,35.56363636,0,801.8181818,935.4545455,0.0,18681.92308,39.1,1,0,1,5.0,0.0,17.0,12.0,7.0,3,760,245.5384615,2015,11,3075,0.18868929
38,16363.63636,3,8.253,478.19,1,3,7,5,1,1,0,335,8,5.694545455,0,730.9090909,852.7272727,0.0,10230.0,61.61538462,0,0,1,5.0,0.0,6.0,10.0,5.0,1,0,0.0,2015,11,3075,0.23690777
39,5454.545455,3,18.689,178.24,3,3,8,9,1,2,0,855,40,25.60090909,0,604.5454545,654.9242424,0.0,5083.846154,31.9,1,0,1,8.0,0.0,7.0,17.0,4.0,0,0,0.0,2015,4,2861,0.38353738
40,13745.45455,3,11.421,563.56,2,0,7,2,1,1,0,141,13,10.47272727,0,544.0909091,589.4318182,0.0,13056.61538,79.15384615,1,0,1,9.0,0.0,0.0,14.0,6.0,3,0,0.0,2015,4,2861,0.29476768
41,32727.27273,5,15.543,749.94,2,1,2,2,0,1,0,185,3,20.14545455,0,613.6363636,664.7727273,0.0,45536.30769,51.96923077,0,0,1,15.0,0.0,6.0,26.0,12.0,4,1583,0.0,2012,12,2010,0.21375743
42,11454.54545,3,14.661,370.66,2,0,9,0,1,1,0,39,24,20.75454545,0,556.3636364,649.0909091,0.0,9336.923077,80.30769231,1,44837,1,2.0,0.0,15.0,13.0,8.0,1,1929,623.2153846,2013,3,2100,0.19606537
43,19854.54545,3,6.534,520.74,0,0,3,0,2,1,4,264,30,28.3,0,589.0909091,638.1818182,0.0,12658.15385,56.21538462,0,4,1,6.0,0.0,1.0,12.0,6.0,3,670,134.0,2015,6,2922,0.19270812
44,9454.545455,3,13.67,272.15,2,0,0,2,0,0,2,91,7,32.17090909,0,560.4545455,653.8636364,0.0,21017.0,38.66153846,0,5,1,6.0,0.0,17.0,28.0,13.0,0,0,0.0,2016,4,3227,0.380514
